,LOCATION,INDICATOR,SUBJECT_x,MEASURE_x,FREQUENCY,TIME,Value_x,Flag Codes_x,monetary_diff,SUBJECT_y,MEASURE_y,Value_y,Flag Codes_y,CPI
0,AUS,M1,TOT,IDX2015,A,1962,0.5005404,,0.018420890701330038,TOT,AGRWTH,-0.3194888,,-0.3194888
1,AUS,M3,TOT,IDX2015,A,1962,0.4458183,,0.06846219637013551,TOT,AGRWTH,-0.3194888,,-0.3194888
2,AUS,M1,TOT,IDX2015,A,1963,0.5179597,,0.033630608713380646,TOT,AGRWTH,0.6410257,,0.6410257
3,AUS,M3,TOT,IDX2015,A,1963,0.4845302,,0.07989574230873539,TOT,AGRWTH,0.6410257,,0.6410257
4,AUS,M1,TOT,IDX2015,A,1964,0.5574105,,0.0707751289220422,TOT,AGRWTH,2.866242,,2.866242
5,AUS,M3,TOT,IDX2015,A,1964,0.541824,,0.10574245511457586,TOT,AGRWTH,2.866242,,2.866242
6,AUS,M1,TOT,IDX2015,A,1965,0.5609266,,0.006268378072995686,TOT,AGRWTH,3.405573,,3.405573
7,AUS,M3,TOT,IDX2015,A,1965,0.5854482,,0.07451419271593969,TOT,AGRWTH,3.405573,,3.405573
8,AUS,M1,TOT,IDX2015,A,1966,0.572002,,0.019362519711469465,TOT,AGRWTH,3.293413,,3.293413
9,AUS,M3,TOT,IDX2015,A,1966,0.6215008,,0.05800893578898047,TOT,AGRWTH,3.293413,,3.293413
10,AUS,M1,TOT,IDX2015,A,1967,0.611172,,0.06408997794401582,TOT,AGRWTH,3.478261,,3.478261
11,AUS,M3,TOT,IDX2015,A,1967,0.6723976,,0.07569449980190303,TOT,AGRWTH,3.478261,,3.478261
12,AUS,M1,TOT,IDX2015,A,1968,0.6546033,,0.06634751153866769,TOT,AGRWTH,2.521008,,2.521008
13,AUS,M3,TOT,IDX2015,A,1968,0.7253956,,0.07306082363885305,TOT,AGRWTH,2.521008,,2.521008
14,AUS,M1,TOT,IDX2015,A,1969,0.7069017,,0.07398256362942679,TOT,AGRWTH,3.278688,,3.278688
15,AUS,M3,TOT,IDX2015,A,1969,0.7912346,,0.08321046627637363,TOT,AGRWTH,3.278688,,3.278688
16,AUS,M1,TOT,IDX2015,A,1970,0.7509555,,0.05866366249398271,TOT,AGRWTH,3.439153,,3.439153
17,AUS,M3,TOT,IDX2015,A,1970,0.8421313,,0.060437962583744384,TOT,AGRWTH,3.439153,,3.439153
18,AUS,M1,TOT,IDX2015,A,1971,0.787248,,0.04610046643497342,TOT,AGRWTH,6.138107,,6.138107
19,AUS,M3,TOT,IDX2015,A,1971,0.9002657,,0.06457471388724453,TOT,AGRWTH,6.138107,,6.138107
20,AUS,M1,TOT,IDX2015,A,1972,0.8714138,,0.09658534211875008,TOT,AGRWTH,6.024096,,6.024096
21,AUS,M3,TOT,IDX2015,A,1972,1.013499,,0.11172512257042186,TOT,AGRWTH,6.024096,,6.024096
22,AUS,M1,TOT,IDX2015,A,1973,1.072712,,0.18765353608424262,TOT,AGRWTH,9.090909,,9.090909
23,AUS,M3,TOT,IDX2015,A,1973,1.251874,,0.19041453053582072,TOT,AGRWTH,9.090909,,9.090909
24,AUS,M1,TOT,IDX2015,A,1974,1.118157,,0.0406427719899799,TOT,AGRWTH,15.41667,,15.41667
25,AUS,M3,TOT,IDX2015,A,1974,1.407599,,0.11063165006511096,TOT,AGRWTH,15.41667,,15.41667
26,AUS,M1,TOT,IDX2015,A,1975,1.304893,,0.1431044537751371,TOT,AGRWTH,15.16245,,15.16245
27,AUS,M3,TOT,IDX2015,A,1975,1.634066,,0.13859109729961946,TOT,AGRWTH,15.16245,,15.16245
28,AUS,M1,TOT,IDX2015,A,1976,1.497249,,0.12847295272863762,TOT,AGRWTH,13.32288,,13.32288
29,AUS,M3,TOT,IDX2015,A,1976,1.978437,,0.17406215108188938,TOT,AGRWTH,13.32288,,13.32288
30,AUS,M1,TOT,IDX2015,A,1977,1.624,,0.07804864532019708,TOT,AGRWTH,12.30982,,12.30982
31,AUS,M3,TOT,IDX2015,A,1977,2.388179,,0.17157089146165344,TOT,AGRWTH,12.30982,,12.30982
32,AUS,M1,TOT,IDX2015,A,1978,1.762329,,0.07849215441611636,TOT,AGRWTH,8.004926,,8.004926
33,AUS,M3,TOT,IDX2015,A,1978,2.633324,,0.09309336792586098,TOT,AGRWTH,8.004926,,8.004926
