indice_tiempo,ipc_alimentos_bebidas_no_alcoholicas_nacional,ipc_bebidas_alcoholicas_tabaco_nacional,ipc_prendas_vestir_calzado_nacional,ipc_vivienda_agua_electricidad_combustibles_nacional,ipc_equipamiento_mantenimientos_hogar_nacional,ipc_salud_nacional,ipc_transporte_nacional,ipc_comunicaciones_nacional,ipc_recreacion_cultura_nacional,ipc_educacion_nacional,ipc_restaurantes_hoteles_nacional,ipc_bienes_servicios_varios_nacional,ipc_alimentos_bebidas_no_alcoholicas_gba,ipc_bebidas_alcoholicas_tabaco_gba,ipc_prendas_vestir_calzado_gba,ipc_vivienda_agua_electricidad_combustibles_gba,ipc_equipamiento_mantenimientos_hogar_gba,ipc_salud_gba,ipc_transporte_gba,ipc_comunicaciones_gba,ipc_recreacion_cultura_gba,ipc_educacion_gba,ipc_restaurantes_hoteles_gba,ipc_bienes_servicios_varios_gba,ipc_alimentos_bebidas_no_alcoholicas_pampeana,ipc_bebidas_alcoholicas_tabaco_pampeana,ipc_prendas_vestir_calzado_pampeana,ipc_vivienda_agua_electricidad_combustibles_pampeana,ipc_equipamiento_mantenimientos_hogar_pampeana,ipc_salud_pampeana,ipc_transporte_pampeana,ipc_comunicaciones_pampeana,ipc_recreacion_cultura_pampeana,ipc_educacion_pampeana,ipc_restaurantes_hoteles_pampeana,ipc_bienes_servicios_varios_pampeana,ipc_alimentos_bebidas_no_alcoholicas_nea,ipc_bebidas_alcoholicas_tabaco_nea,ipc_prendas_vestir_calzado_nea,ipc_vivienda_agua_electricidad_combustibles_nea,ipc_equipamiento_mantenimientos_hogar_nea,ipc_salud_nea,ipc_transporte_nea,ipc_comunicaciones_nea,ipc_recreacion_cultura_nea,ipc_educacion_nea,ipc_restaurantes_hoteles_nea,ipc_bienes_servicios_varios_nea,ipc_alimentos_bebidas_no_alcoholicas_noa,ipc_bebidas_alcoholicas_tabaco_noa,ipc_prendas_vestir_calzado_noa,ipc_vivienda_agua_electricidad_combustibles_noa,ipc_equipamiento_mantenimientos_hogar_noa,ipc_salud_noa,ipc_transporte_noa,ipc_comunicaciones_noa,ipc_recreacion_cultura_noa,ipc_educacion_noa,ipc_restaurantes_hoteles_noa,ipc_bienes_servicios_varios_noa,ipc_alimentos_bebidas_no_alcoholicas_cuyo,ipc_bebidas_alcoholicas_tabaco_cuyo,ipc_prendas_vestir_calzado_cuyo,ipc_vivienda_agua_electricidad_combustibles_cuyo,ipc_equipamiento_mantenimientos_hogar_cuyo,ipc_salud_cuyo,ipc_transporte_cuyo,ipc_comunicaciones_cuyo,ipc_recreacion_cultura_cuyo,ipc_educacion_cuyo,ipc_restaurantes_hoteles_cuyo,ipc_bienes_servicios_varios_cuyo,ipc_alimentos_bebidas_no_alcoholicas_patagonia,ipc_bebidas_alcoholicas_tabaco_patagonia,ipc_prendas_vestir_calzado_patagonia,ipc_vivienda_agua_electricidad_combustibles_patagonia,ipc_equipamiento_mantenimientos_hogar_patagonia,ipc_salud_patagonia,ipc_transporte_patagonia,ipc_comunicaciones_patagonia,ipc_recreacion_cultura_patagonia,ipc_educacion_patagonia,ipc_restaurantes_hoteles_patagonia,ipc_bienes_servicios_varios_patagonia
2016-12-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2017-01-01,101.3024,100.925,99.0066,101.4784,100.8773,102.3501,102.0755,103.0516,103.1906,100.7952,103.1002,101.9345,101.3069,100.5008,97.8719,99.9812,100.8651,101.3559,101.7583,103.8174,103.243,100.4869,103.2868,102.117,101.3185,101.3123,99.6481,102.225,100.8374,103.1538,102.4339,102.0782,103.5814,100.3682,103.1259,101.5745,101.7326,100.7754,100.2847,101.394,101.4132,102.5966,100.3463,102.7252,103.633,101.6601,104.2939,102.0562,101.0322,101.3444,100.483,101.5904,100.4121,102.7132,102.928,104.1098,103.4112,100.5123,102.48,102.0385,101.4532,101.3446,99.8901,102.9333,101.2098,103.1395,102.6271,102.7973,101.494,100.0,101.8587,102.0274,100.9464,101.1901,100.9137,110.3184,101.0684,104.7253,102.4768,101.6649,100.9612,106.9917,102.2654,102.4839
2017-02-01,103.1605,105.2395,98.8523,107.0014,101.3278,105.0852,103.9957,107.2514,103.7961,103.9808,104.8886,103.7951,103.1646,105.4806,97.4253,108.4042,101.2178,104.6961,103.5441,108.0484,103.3096,104.936,105.1373,104.1416,103.0905,105.2329,99.9319,104.5783,101.5404,105.4773,104.4485,106.7706,104.5173,102.0178,104.4851,103.518,103.3712,104.2784,100.4291,103.9854,101.7747,105.2343,101.2812,107.0976,105.6846,109.7825,108.3164,103.2166,103.8789,105.4591,100.4131,107.6923,100.6545,104.0851,105.5673,107.0784,103.4842,102.8592,103.3877,103.5259,103.2726,103.6784,97.6569,106.7382,101.4084,105.4921,105.0294,105.0927,103.0695,102.6468,103.7947,103.145,102.2499,105.356,102.3756,112.0198,101.2819,107.0073,104.4111,105.7368,102.5319,106.687,105.6675,104.2815
2017-03-01,106.0143,107.2901,102.255,110.8463,102.1787,107.1422,105.2177,110.6933,105.5114,115.3409,105.9567,105.6633,106.7878,107.1121,102.0665,110.7756,102.1399,106.6572,104.5685,110.6652,104.8017,111.9338,106.1813,105.5869,105.4796,107.7278,102.397,107.7477,102.0686,107.4786,105.7104,110.9914,106.5045,114.7719,105.6069,105.8309,105.0298,106.3092,103.2313,113.2471,103.1742,107.6407,102.3716,110.7662,105.7406,123.958,110.4746,104.5375,105.9988,107.1161,102.2209,121.3727,102.0194,107.044,106.4422,113.163,105.1461,130.753,105.0341,105.685,105.6107,107.6177,99.9659,111.8642,102.4367,107.5537,107.7578,108.0971,105.7508,112.7186,104.0537,105.5914,103.9781,106.5579,104.7865,115.3729,102.3074,108.7254,106.3107,107.843,105.026,123.3177,105.4631,106.397
2017-04-01,108.3515,109.8338,106.8806,117.4108,103.3147,109.052,105.8674,118.2686,108.2881,118.6783,107.9795,107.5442,109.2144,109.5812,107.2381,115.889,103.1802,108.1913,105.0876,118.2386,108.3531,116.2786,108.3494,107.5817,107.6223,110.2615,107.7653,115.7988,103.234,109.6556,106.4751,118.1294,108.1603,116.8585,107.5143,107.5104,107.9352,109.4168,103.2573,116.5835,104.9504,110.3274,102.8986,120.0581,109.1455,125.2085,110.876,107.7262,108.3813,109.2687,105.8574,131.8395,103.1266,109.2143,106.9891,120.6617,107.7095,131.7883,107.1572,106.9473,108.662,110.4164,103.6297,122.532,103.4704,109.9679,108.5852,117.3494,108.008,123.0399,106.7437,106.9862,105.4772,109.665,105.76,119.3459,103.6556,110.6841,107.5492,115.2587,108.9559,123.6835,107.6891,108.838
2017-05-01,109.7631,111.7182,108.726,119.5207,106.1577,110.7256,106.8575,118.6553,109.0808,120.69,109.5541,108.9336,110.3615,111.639,107.9072,118.0458,106.2886,109.7879,106.2149,118.1821,109.3191,118.5362,109.4833,109.0808,109.1784,111.9322,110.8815,117.1786,105.9881,111.3292,107.2349,119.2354,107.9732,119.0889,109.6488,108.5852,109.8801,111.5329,107.3624,117.776,106.8457,112.6649,104.8915,120.4868,109.7089,125.2085,114.1092,110.1254,109.5925,111.2548,107.8263,135.6425,106.0504,110.9083,108.233,120.8609,108.8826,133.0204,109.0168,108.1839,110.5564,111.7646,105.7716,126.0123,105.9601,111.5318,109.0421,117.3533,110.9068,125.9261,107.5511,109.1074,107.5956,111.7105,106.9611,123.2025,105.8478,112.5553,108.0742,115.391,112.5688,123.8872,107.9996,109.8555
2017-06-01,110.7483,112.4572,109.6911,121.6359,107.4904,112.3558,107.5925,120.1049,111.6195,121.8757,110.9475,110.3729,111.7923,112.1628,108.5621,120.9192,107.7485,111.1892,106.5466,120.4465,112.5701,119.4016,111.3293,110.1832,109.7297,112.7727,112.0058,118.5639,107.3324,113.0929,108.0181,120.1817,109.8691,121.308,110.8486,110.4629,111.3432,114.2932,107.6865,120.8334,107.4653,114.5041,106.5643,120.8067,112.3574,125.4614,114.7012,112.9007,110.239,111.5999,110.9264,136.4026,106.5386,112.6816,109.1964,121.8266,110.3471,133.4391,109.398,108.4948,111.1791,112.0463,105.7636,127.1536,107.3218,113.7365,111.879,117.0591,112.7822,125.956,108.7289,110.2463,107.9237,112.9921,108.3356,124.7449,107.8202,114.4315,108.9388,116.2683,115.3037,124.1271,109.1265,111.9854
2017-07-01,112.0115,115.794,108.3524,124.0879,110.0984,116.0848,109.9058,121.2281,115.609,122.8868,113.777,111.8348,113.1579,115.9318,106.5553,123.9173,110.4314,114.9895,108.0683,121.0689,116.1042,120.2404,114.0646,111.7819,111.0117,115.9517,110.8592,120.4739,110.0163,117.2026,111.0984,122.0774,115.2982,122.3166,114.3545,112.0335,112.1396,117.5087,107.3429,122.6814,109.8963,116.3472,110.6746,121.6829,114.8339,126.8147,114.911,113.985,111.3233,113.8749,110.601,138.6344,109.3629,116.0536,112.3778,121.6774,113.0802,135.338,111.2471,109.4154,112.524,114.6441,105.7652,128.3865,109.2936,117.285,112.9427,119.8053,115.2405,127.1536,111.3908,111.4859,108.7052,115.8682,108.0861,127.5967,109.7282,117.2278,112.1956,117.0195,118.2348,124.9513,112.1018,112.7634
2017-08-01,114.3467,117.3256,107.6769,126.7648,111.1513,119.0025,111.0994,123.052,116.3997,125.3185,114.5928,113.6021,115.6549,117.4477,105.6182,127.1644,111.5098,118.3191,109.2582,123.3833,116.1082,121.9879,115.0985,113.4518,113.4677,117.2003,110.16,122.5117,111.202,119.859,112.3391,123.1496,116.041,126.2009,114.7535,113.5919,113.6752,119.621,106.0912,125.24,110.2027,119.303,111.5878,122.6999,118.114,128.4191,114.8047,117.2701,112.7874,116.0454,110.3081,139.6986,110.1396,118.4669,113.7116,124.5091,116.6181,137.384,112.9072,111.4284,115.0058,116.9571,105.0935,131.3004,110.3561,119.5298,113.4674,121.3918,116.5243,128.5598,112.212,113.3637,110.5112,117.2341,110.2047,131.1214,110.7126,119.4044,113.9424,119.0533,119.7007,126.1421,113.6027,114.9677
2017-09-01,116.4048,118.1383,111.7682,129.2656,112.2879,121.8977,111.9943,124.3454,119.536,129.9791,116.2141,115.4941,117.8695,118.2786,111.8326,128.2415,112.5568,121.1943,110.258,124.5391,120.017,128.2949,116.4971,115.5821,115.1672,118.0307,112.9665,127.7062,112.4815,122.7381,112.9931,124.8701,118.8879,130.4372,116.7469,115.5247,115.5282,120.8207,108.3729,126.0757,111.002,121.3068,112.4219,123.532,119.7391,130.8278,115.1332,118.3978,115.8514,116.804,111.707,141.2223,111.3973,120.7606,114.5102,125.999,118.2457,139.22,114.7894,113.2292,117.1654,117.5981,107.9364,132.9221,111.9858,123.3663,114.6184,121.5069,119.604,129.2793,114.3078,113.6678,112.3235,117.6412,110.1829,133.0531,111.2591,123.4031,115.474,120.0112,121.4033,128.8272,114.9091,116.989
