"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","M3","TOT","IDX2015","A","1961",0.4152966,
"AUS","M3","TOT","IDX2015","A","1962",0.4458183,
"AUS","M3","TOT","IDX2015","A","1963",0.4845302,
"AUS","M3","TOT","IDX2015","A","1964",0.541824,
"AUS","M3","TOT","IDX2015","A","1965",0.5854482,
"AUS","M3","TOT","IDX2015","A","1966",0.6215008,
"AUS","M3","TOT","IDX2015","A","1967",0.6723976,
"AUS","M3","TOT","IDX2015","A","1968",0.7253956,
"AUS","M3","TOT","IDX2015","A","1969",0.7912346,
"AUS","M3","TOT","IDX2015","A","1970",0.8421313,
"AUS","M3","TOT","IDX2015","A","1971",0.9002657,
"AUS","M3","TOT","IDX2015","A","1972",1.013499,
"AUS","M3","TOT","IDX2015","A","1973",1.251874,
"AUS","M3","TOT","IDX2015","A","1974",1.407599,
"AUS","M3","TOT","IDX2015","A","1975",1.634066,
"AUS","M3","TOT","IDX2015","A","1976",1.978437,
"AUS","M3","TOT","IDX2015","A","1977",2.388179,
"AUS","M3","TOT","IDX2015","A","1978",2.633324,
"AUS","M3","TOT","IDX2015","A","1979",2.97676,
"AUS","M3","TOT","IDX2015","A","1980",3.388137,
"AUS","M3","TOT","IDX2015","A","1981",3.814923,
"AUS","M3","TOT","IDX2015","A","1982",4.243576,
"AUS","M3","TOT","IDX2015","A","1983",4.7913,
"AUS","M3","TOT","IDX2015","A","1984",5.442685,
"AUS","M3","TOT","IDX2015","A","1985",6.306996,
"AUS","M3","TOT","IDX2015","A","1986",6.996904,
"AUS","M3","TOT","IDX2015","A","1987",7.732573,
"AUS","M3","TOT","IDX2015","A","1988",8.729262,
"AUS","M3","TOT","IDX2015","A","1989",10.70116,
"AUS","M3","TOT","IDX2015","A","1990",12.12207,
"AUS","M3","TOT","IDX2015","A","1991",12.77976,
"AUS","M3","TOT","IDX2015","A","1992",13.20911,
"AUS","M3","TOT","IDX2015","A","1993",13.93684,
"AUS","M3","TOT","IDX2015","A","1994",15.00567,
"AUS","M3","TOT","IDX2015","A","1995",16.26619,
"AUS","M3","TOT","IDX2015","A","1996",17.76834,
"AUS","M3","TOT","IDX2015","A","1997",19.26162,
"AUS","M3","TOT","IDX2015","A","1998",20.58097,
"AUS","M3","TOT","IDX2015","A","1999",22.50454,
"AUS","M3","TOT","IDX2015","A","2000",24.14188,
"AUS","M3","TOT","IDX2015","A","2001",26.18872,
"AUS","M3","TOT","IDX2015","A","2002",28.56336,
"AUS","M3","TOT","IDX2015","A","2003",31.49926,
"AUS","M3","TOT","IDX2015","A","2004",34.81689,
"AUS","M3","TOT","IDX2015","A","2005",37.72851,
"AUS","M3","TOT","IDX2015","A","2006",41.79208,
"AUS","M3","TOT","IDX2015","A","2007",48.87724,
"AUS","M3","TOT","IDX2015","A","2008",58.5621,
"AUS","M3","TOT","IDX2015","A","2009",65.51301,
"AUS","M3","TOT","IDX2015","A","2010",69.21703,
"AUS","M3","TOT","IDX2015","A","2011",75.90085,
"AUS","M3","TOT","IDX2015","A","2012",81.86908,
"AUS","M3","TOT","IDX2015","A","2013",87.33114,
"AUS","M3","TOT","IDX2015","A","2014",93.63347,
"AUS","M3","TOT","IDX2015","A","2015",100,
"AUS","M3","TOT","IDX2015","A","2016",105.9411,
"AUS","M3","TOT","IDX2015","A","2017",113.1855,
"AUS","M3","TOT","IDX2015","A","2018",116.2454,
"AUS","M3","TOT","IDX2015","A","2019",119.747,
"AUS","M3","TOT","IDX2015","A","2020",129.7405,
"AUS","M3","TOT","IDX2015","A","2021",141.2395,
"CAN","M3","TOT","IDX2015","A","1970",2.052823,
"CAN","M3","TOT","IDX2015","A","1971",2.272355,
"CAN","M3","TOT","IDX2015","A","1972",2.592907,
"CAN","M3","TOT","IDX2015","A","1973",3.005834,
"CAN","M3","TOT","IDX2015","A","1974",3.758803,
"CAN","M3","TOT","IDX2015","A","1975",4.318983,
"CAN","M3","TOT","IDX2015","A","1976",5.132185,
"CAN","M3","TOT","IDX2015","A","1977",6.0087,
"CAN","M3","TOT","IDX2015","A","1978",6.915966,
"CAN","M3","TOT","IDX2015","A","1979",8.255965,
"CAN","M3","TOT","IDX2015","A","1980",9.644033,
"CAN","M3","TOT","IDX2015","A","1981",10.95038,
"CAN","M3","TOT","IDX2015","A","1982",11.42637,
"CAN","M3","TOT","IDX2015","A","1983",11.6704,
"CAN","M3","TOT","IDX2015","A","1984",12.13281,
